Comments,User name,Created_at,Source,Like,Replies_count,Lang
"""Breaking stereotypes, one city at a time! ?? #GenderEquality #India #Empowerment""",insta_lover123,6/16/2018 22:16,instagram for Android,1,2,en
"""Let's build cities where gender discrimination is a thing of the past! ?? #GenderEquality #India #Progress""",sunny_smiles98,6/16/2018 22:16,instagram for iPhone,0,0,en
"""Every city in India deserves to be a safe haven for all genders. ??? #SafeCities #India #Equality""",adventure_seeker7,6/16/2018 22:16,instagram for iPhone,0,36,en
"""Empowerment knows no gender! Let's create inclusive cities for everyone. ?? #InclusiveCities #India #Empowerment""",fashionista_glam,6/16/2018 22:16,instagram for Android,0,7,en
"""Gender discrimination has no place in the vibrant tapestry of India's cities. ?? #NoToDiscrimination #India #Diversity""",foodie_delight365,6/16/2018 22:16,instagram for iPhone,1,161,en
"""Here's to cities where opportunities don't discriminate based on gender! ?? #EqualOpportunity #India #Progress""",travel_buddy22,6/16/2018 22:16,instagram Web App,0,100,en
"""Breaking barriers and biases, one city at a time. Let's make India proud! ???? #BreakTheBias #India #Equality""",fitness_freak99,6/16/2018 22:16,instagram.io,0,0,en
"""In the mosaic of Indian cities, let's ensure every gender has a rightful place. ?? #UnityInDiversity #India #Inclusion""",music_lover88,6/16/2018 22:16,instagram for Android,1,2,en
"""The strength of India lies in its diversity, let's embrace every gender equally. ?? #DiverseIndia #India #Equality""",pet_lover2022,6/16/2018 22:16,instagram Web App,1,3,en
"""Gender equality isn't just a dream, it's a necessity for India's cities to thrive. ?? #DreamBig #India #Progress""",@adventure_time21,6/16/2018 22:16,instagram for Android,0,2,en
"""Let's rewrite the narrative of India's cities to one of inclusivity and equality. ?? #RewriteTheNarrative #India #Inclusion""",@fashion_queen88,6/16/2018 22:16,instagram for iPhone,1,0,en
"""Proud to be part of a generation striving for gender equality in every corner of India. ?? #GenerationEquality #India #Progress""",@foodie_adventures365,6/16/2018 22:16,instagram for iPhone,0,1,en
"""From streets to boardrooms, let's shatter the glass ceiling in every Indian city. ?? #ShatterTheCeiling #India #Empowerment""",@wanderlust_explorer22,6/16/2018 22:16,instagram for Android,1,2,en
"""A gender-equal society is not just a utopian idea, it's the reality we're working towards. ?? #UtopiaToReality #India #Equality""",@fitness_junkie99,6/16/2018 22:16,instagram for iPhone,1,100,en
"""Imagine the possibilities when every individual in India's cities is treated with dignity and respect. ?? #ImagineEquality #India #Progress""",@music_lover2024,6/16/2018 22:16,instagram Web App,0,50,en
"""Gender discrimination stifles progress. It's time to unleash the full potential of India's cities! ?? #UnleashPotential #India #Equality""",@artistic_soul55,6/16/2018 22:16,instagram.io,0,3,en
"""Diversity is our strength, let's celebrate it in every aspect of city life. ?? #StrengthInDiversity #India #Inclusion""",@bookworm_reader77,6/16/2018 22:16,instagram for Android,1,6,en
"""Gender discrimination harms us all. Let's stand together for a more just and equal India. ?? #StandTogether #India #Equality""",@movie_buff2023,6/16/2018 22:16,instagram Web App,1,4567,en
"""In the heart of every Indian city, let there be empathy, understanding, and equality. ?? #HeartOfTheCity #India #Empathy""",@nature_lover500,6/16/2018 22:16,instagram Web App,1,0,en
"""Building cities where every gender feels safe, valued, and respected should be our collective goal. ??? #SafeAndRespectful #India #Progress""",@tech_guru1234,6/16/2018 22:17,instagram Web App,1,0,en
"""The future of India's cities is bright when equality lights the way! ?? #BrightFuture #India #Equality""",@coffee_addict22,6/16/2018 22:17,instagram Web App,0,315,en
"""Redefining masculinity and femininity in the fabric of Indian cities is essential for progress. ? #RedefineGender #India #Progress""",@beach_babe567,6/16/2018 22:17,instagram Web App,0,100,en
"""Let's create a ripple effect of gender equality that spreads across every nook and cranny of India's cities. ?? #RippleOfEquality #India #Empowerment""",@diy_crafter99,6/16/2018 22:17,instagram Web App,0,0,en
"""The true beauty of India's cities lies in their diversity. Let's cherish and protect it. ?? #CherishDiversity #India #Inclusion""",@plant_parent2021,6/16/2018 22:17,instagram.io,0,7,en
"""To truly thrive, India's cities must embrace the full spectrum of gender identities. ?? #EmbraceDiversity #India #Equality""",@travel_bug11,6/16/2018 22:17,instagram Web App,1,100,en
"""A city is only as strong as its commitment to gender equality. Let's strengthen India together. ?? #StrengthInUnity #India #Progress""",@insta_addict123,6/16/2018 22:17,instagram for Android,1,1,en
"""Breaking stereotypes isn't just a choice; it's a responsibility we owe to future generations. ?? #BreakStereotypes #India #Empowerment""",@photography_lover21,6/16/2018 22:17,instagram Web App,1,6,en
"""No more limits based on gender! It's time for India's cities to soar to new heights. ?? #NoLimits #India #Progress""",@sunny_smiles98,6/16/2018 22:17,instagram for Android,0,0,en
"""Gender equality isn't an option; it's a necessity for the growth and prosperity of India. ?? #Necessity #India #Equality""",@pet_lover2022,6/16/2018 22:17,instagram for iPhone,0,315,en
"""Let's build cities where every individual feels seen, heard, and valued, regardless of gender. ??????? #SeenAndHeard #India #Inclusion""",@fitness_fanatic21,6/16/2018 22:17,instagram for iPhone,0,100,en
"""Dismantling gender discrimination requires collective action from every corner of India. ?? #CollectiveAction #India #Empowerment""",@music_maniac88,6/16/2018 22:17,instagram for Android,0,65,en
"""Progress knows no gender. Let's march forward together as one India. ?????????? #OneIndia #India #Progress""",@artistic_vision55,6/16/2018 22:17,instagram for iPhone,0,100,en
"""Gender discrimination is a roadblock to progress. Let's clear the path for a brighter future. ??? #ClearThePath #India #Equality""",@book_lover77,6/16/2018 22:17,instagram for iPhone,1,13,en
