Comments,User name,Created_at,Source,Like,Replies_Count,Lang
"""We must stand together to end sexual abuse in Indian cities. #EndSexualAbuse #India""",NeonNebula,7/16/2020 21:17,instagram for io,0,2,EN
"""Every voice matters in the fight against sexual abuse. Let's amplify them. #SpeakOut #India""",PixelPioneer,7/16/2020 21:17,instagram for iPhone,0,34,EN
"""Sexual abuse has no place in our society. Let's work towards a safer India for all. #SafeIndia #EndAbuse""",VelvetVoyage,7/16/2020 21:17,instagram for iPhone,0,2345,EN
"""Raising awareness is crucial in combating sexual abuse. Let's spread the word. #Awareness #India""",LunarLuminary,7/16/2020 21:17,instagram for Android,2,67,EN
"""Survivors deserve justice and support. Let's stand with them. #JusticeForSurvivors #India""",StarrySpecter,7/16/2020 21:17,instagram for iPhone,1,0,EN
"""Education and empathy are key to preventing sexual abuse. Let's educate ourselves and others. #Prevention #India""",MysticMingle,7/16/2020 21:17,instagram Web App,2,67,EN
"""Together, we can create safer spaces for everyone. Let's take action. #SafeSpaces #EndAbuse""",EchoEnigma,7/16/2020 21:17,instagram.io,1,122,EN
"""Victims of sexual abuse deserve compassion and understanding. Let's support them. #Compassion #India""",PrismPresence,7/16/2020 21:17,instagram for Android,1,34,EN
"""It's time to break the silence on sexual abuse. Let's start the conversation. #BreakTheSilence #India""",SereneSynergy,7/16/2020 21:17,instagram Web App,1,56,EN
"""No one should ever feel unsafe in their own city. Let's make Indian cities safer. #SafetyFirst #India""",DreamyDazzle,7/16/2020 21:17,instagram for Android,0,78,EN
"""Ending sexual abuse requires a collective effort. Let's stand united. #Unity #EndAbuse""",NovaNomad,7/16/2020 21:17,instagram for iPhone,0,9,EN
"""Empowering survivors is essential for healing and change. Let's empower them. #EmpowerSurvivors #India""",EtherealEchoes,7/16/2020 21:17,instagram for iPhone,0,8,EN
"""Let's work towards a future where everyone feels respected and valued. #Respect #India""",RadiantRipple,7/16/2020 21:17,instagram for Android,0,77,EN
"""Shedding light on sexual abuse is the first step towards ending it. Let's shine a light. #Awareness #India""",ZenithZephyr,7/16/2020 21:17,instagram for iPhone,0,456,EN
"""We must hold perpetrators accountable for their actions. #Accountability #EndAbuse""",CelestialCipher,7/16/2020 21:17,instagram Web App,0,122,EN
"""Supporting survivors is not just a choice, it's a responsibility. Let's fulfill it. #Support #India""",WanderWisp,7/16/2020 21:17,instagram.io,0,234,EN
"""Let's create a culture of consent and respect. #ConsentCulture #India""",BlissfulBloom,7/16/2020 21:17,instagram for Android,0,56,EN
"""Sexual abuse is a violation of basic human rights. Let's fight for justice. #HumanRights #EndAbuse""",EnchantedEssence,7/16/2020 21:17,instagram Web App,0,4,EN
"""Educating ourselves about sexual abuse is crucial for prevention. Let's learn and teach. #Education #India""",TwilightTrance,7/16/2020 21:17,instagram Web App,0,0,EN
"""Together, we can create a future free from sexual violence. #EndViolence #India""",WhisperingWillow,7/16/2020 21:17,instagram Web App,0,1,EN
"""Survivors are not alone. Let's offer them our unwavering support. #SupportSurvivors #India""",LuminousLagoon,7/16/2020 21:17,instagram Web App,0,0,EN
"""Let's dismantle the systems that enable sexual abuse. #SystemChange #EndAbuse""",CosmicCascade,7/16/2020 21:17,instagram Web App,0,567,EN
"""Every action counts in the fight against sexual abuse. Let's take action. #TakeAction #India""",MirageMystery,7/16/2020 21:17,instagram Web App,0,897,EN
"""Empathy and understanding are powerful tools in combating sexual abuse. Let's use them. #Empathy #EndAbuse""",NeonNirvana,7/16/2020 21:17,instagram.io,0,4,EN
"""We must listen to survivors' voices and stories. Let's amplify them. #ListenAndBelieve #India""",SapphireSerenade,7/16/2020 21:17,instagram Web App,0,33,EN
"""Ending sexual abuse requires a commitment from all of us. Let's make that commitment. #EndAbuse #India""",PixelPulse,7/16/2020 21:17,instagram for Android,0,678,EN
"""Let's challenge the norms that perpetuate sexual violence. #ChallengeNorms #India""",VelvetVortex,7/16/2020 21:17,instagram Web App,0,79,EN
"""Sexual abuse thrives in silence. Let's break that silence. #BreakTheSilence #EndAbuse""",LunarLullaby,7/16/2020 21:17,instagram for Android,0,9,EN
"""Creating a safer India starts with us. Let's take the first step. #ChangeStartsWithUs #India""",StarrySpell,7/16/2020 21:17,instagram for iPhone,0,76,EN
"""It's time to put an end to the cycle of violence. Let's break it. #BreakTheCycle #EndAbuse""",MysticMingle,7/16/2020 21:17,instagram for iPhone,0,0,EN
"""Survivors deserve support, not stigma. Let's end the stigma. #EndStigma #India""",EchoElysium,7/16/2020 21:17,instagram for Android,0,0,EN
"""Let's educate our communities about consent and boundaries. #ConsentEducation #India""",PrismPulse,7/16/2020 21:17,instagram for iPhone,0,0,EN
"""We must prioritize the safety and well-being of all individuals. #SafetyFirst #India""",SereneSafari,7/16/2020 21:17,instagram for iPhone,0,0,EN
"""Sexual abuse affects people of all genders. Let's address it inclusively. #GenderEquality #India""",DreamyDestiny,7/16/2020 21:17,instagram for iPhone,0,1234,EN
"""Together, we can create a culture of respect and dignity. #Respect #EndAbuse""",NovaNest,7/16/2020 21:17,instagram for iPhone,0,2,EN
"""Let's work towards healing and justice for all survivors. #Healing #Justice #India""",EtherealEclipse,7/16/2020 21:17,instagram for Android,0,34,EN
"""Speaking out against sexual abuse is a powerful form of activism. #SpeakOut #EndAbuse""",RadiantRealm,7/16/2020 21:17,instagram Web App,0,2345,EN
"""Educating ourselves about the signs of abuse can help prevent it. Let's educate ourselves. #Prevention #India""",ZenithZen,7/16/2020 21:17,instagram for Android,2,67,EN
"""Ending sexual abuse requires a multifaceted approach. Let's explore all avenues. #EndAbuse #India""",CelestialCanvas,7/16/2020 21:17,instagram for iPhone,1,0,EN
"""Let's support organizations working tirelessly to end sexual violence. #SupportNGOs #India""",WanderWhirl,7/16/2020 21:17,instagram for iPhone,2,67,EN
