Comments,Username,Created_at,Source,Like,Replies_count,Lang
Our hearts go out to the brave survivors of sexual assault in India. #EndRapeCulture #IndiaSpeaksOut,adventureseeker_99,10/16/2019 22:33,instagram for Android,0,2,en
"We stand with the women of India, advocating for safety, respect, and justice. #EmpowerWomen #IndiaUnites",wanderlust_23,10/16/2019 22:33,instagram for iPhone,0,0,en
It's time to break the silence on sexual violence against women in Indian cities. #SpeakUp #IndiaRises,wildflower_45,10/16/2019 22:33,instagram for iPhone,0,36,en
Every woman deserves to feel safe and respected in her own city. Let's work together to make that a reality. #SafeCities #IndiaStandsStrong,outdoorsy_soul_88,10/16/2019 22:33,instagram for Android,0,7,en
Sexual assault is never the fault of the survivor. Let's challenge victim-blaming and support survivors. #BelieveWomen #IndiaSupports,mountain_mermaid_67,10/16/2019 22:33,instagram for iPhone,0,161,en
"We need better laws, stronger enforcement, and comprehensive education to combat sexual violence in India. #LegalReform #IndiaDemandsChange",ecoexplorer_32,10/16/2019 22:33,instagram Web App,1,100,en
"Let's create a culture of consent and respect where everyone feels safe to live, work, and thrive. #ConsentIsKey #IndiaUnitesAgainstAssault",serene_scenery_71,10/16/2019 22:33,instagram.io,1,0,en
It's not enough to condemn sexual violence; we must actively work to prevent it and support survivors. #ActionNotJustWords #IndiaActsNow,greenery_goddess_55,10/16/2019 22:32,instagram for Android,0,2,en
Our solidarity is with the survivors of sexual assault in India. Your courage inspires us to fight for change. #CourageousWomen #IndiaStandsWithYou,earthbound_angel_78,10/16/2019 22:32,instagram Web App,0,3,en
We must dismantle patriarchal structures that perpetuate violence against women. #BreakTheNorms #IndiaForEquality,blissful_butterfly_96,10/16/2019 22:32,instagram for Android,1,2,en
"Survivors of sexual assault deserve compassion, support, and justice. Let's amplify their voices. #SupportSurvivors #IndiaListens",nature_nymph_84,10/16/2019 22:31,instagram for iPhone,0,0,en
"Educate, empower, and protect. These are the pillars of a society free from sexual violence. #EducationIsKey #IndiaEmpowersWomen",wilderness_wanderer_60,10/16/2019 22:31,instagram for iPhone,0,1,en
Sexual violence is a societal problem that requires a collective response. Let's stand together to end it. #TogetherWeCan #IndiaUnited,treehugger_74,10/16/2019 22:31,instagram for Android,0,2,en
It's time for men to step up as allies and actively challenge toxic masculinity. #MenForChange #IndiaForAll,floral_fantasy_39,10/16/2019 22:31,instagram for iPhone,1,100,en
We won't stay silent while women's bodies are violated. It's time to break the cycle of violence. #BreakTheSilence #IndiaSpeaksUp,sunlit_scenes_20,10/16/2019 22:31,instagram Web App,0,50,en
Let's create a future where every woman can walk the streets of India without fear. #SafeStreets #IndiaForAllWomen,natural_nomad_62,10/16/2019 22:31,instagram.io,1,3,en
No woman should live in fear of sexual violence. Let's work together to create a safer India for all. #SafeIndia #IndiaRisesAgainstAssault,adventure_addict_25,10/16/2019 22:31,instagram for Android,0,6,en
"We need comprehensive sex education to teach consent, boundaries, and respect from an early age. #EducationForAll #IndiaForChange",wanderer_in_wild_94,10/16/2019 22:31,instagram Web App,1,4567,en
"Survivors, your strength and resilience inspire us. We're here to support you and fight alongside you. #StrengthInSolidarity #IndiaWithSurvivors",river_roamer_81,10/16/2019 22:31,instagram Web App,0,0,en
Sexual violence is a violation of basic human rights. Let's demand justice for survivors. #JusticeForAll #IndiaForHumanRights,trailblazer_07,10/16/2019 22:30,instagram Web App,0,0,en
We need better resources and support systems for survivors of sexual assault. Let's prioritize their needs. #SupportSurvivors #IndiaCares,eco_enthusiast_48,10/16/2019 22:30,instagram Web App,0,315,en
Rape is never the fault of the survivor. Let's challenge victim-blaming attitudes and hold perpetrators accountable. #NoMoreBlame #IndiaStandsStrong,wild_wanderlust_35,10/16/2019 22:30,instagram Web App,0,100,en
It's time to confront the uncomfortable truths about sexual violence in India. Awareness leads to action. #AwarenessLeadsToAction #IndiaAwakens,outdoor_ovation_17,10/16/2019 22:30,instagram Web App,0,0,en
We won't stop fighting until every woman in India can live without the fear of sexual violence. #NeverStopFighting #IndiaUnitesAgainstAssault,nature_nurturer_52,10/16/2019 22:30,instagram.io,0,7,en
Let's teach our sons to respect women and treat them as equals. Change starts at home. #RaiseThemRight #IndiaForEquality,leafy_lifestyle_29,10/16/2019 22:30,instagram Web App,1,100,en
"Survivors, you are not alone. We're here to listen, support, and advocate for you. #YouAreNotAlone #IndiaHearsYou",green_guardian_68,10/16/2019 22:29,instagram for Android,0,1,en
"Sexual violence affects everyone. Let's work together to create a safer, more inclusive society. #InclusionMatters #IndiaForAll",earth_embrace_63,10/16/2019 22:29,instagram Web App,0,6,en
It's time to dismantle the systems that enable and perpetuate sexual violence. We won't rest until justice is served. #SystemChange #IndiaDemandsJustice,mountain_maven_75,10/16/2019 22:29,instagram for Android,1,0,en
"We must believe and support survivors, amplify their voices, and hold perpetrators accountable. #BelieveSurvivors #IndiaForJustice",serene_safari_90,10/16/2019 22:29,instagram for iPhone,1,315,en
"Let's prioritize the safety and well-being of women in India, starting with comprehensive policy reform. #PolicyChange #IndiaForSafety",woodland_wanderer_53,10/16/2019 22:29,instagram for iPhone,0,100,en
Sexual violence is a violation of human dignity. Let's stand together to protect the dignity of every individual. #DignityForAll #IndiaUnitesForJustice,blossom_bound_98,10/16/2019 22:29,instagram for Android,0,65,en
"We need cultural shifts that prioritize consent, respect, and equality. It's time for change. #CultureShift #IndiaForProgress",natural_nomad_70,10/16/2019 22:29,instagram for iPhone,1,100,en
"Survivors, your bravery inspires us. We're committed to fighting for a world where sexual violence is eradicated. #BraveWomen #IndiaForChange",adventure_affair_45,10/16/2019 22:28,instagram for iPhone,0,13,en
Let's educate ourselves and others about the realities of sexual violence in India. Awareness leads to action. #AwarenessForAction #IndiaSpeaksOut,wanderer_of_wonders_32,10/16/2019 22:28,instagram for iPhone,0,0,en
"No more excuses, no more silence. It's time for action to end sexual violence against women in India. #NoMoreExcuses #IndiaTakesAStand",wilderness_wayfarer_86,10/16/2019 22:28,instagram for iPhone,1,1,en
