Comments,User name,Created_at,Source,Like,Replies_count,Lang
"""Let's create a culture where women feel safe and respected, free from the fear of stalking. #EndStalking""",adventureseeker82,10/16/2019 22:33,instagram for Android,0,2,en
"""Every woman deserves to walk the streets of India without fear. Let's work together to combat stalking. #SafeStreets""",wanderlust_journey,10/16/2019 22:33,instagram for iPhone,0,0,en
"""Supporting survivors of stalking is crucial. Let's stand with them and advocate for change. #SupportSurvivors""",explorewithme123,10/16/2019 22:33,instagram for iPhone,0,36,en
"""Education and awareness are key in preventing stalking. Let's empower women with knowledge and resources. #Prevention""",urbanexplorer23,10/16/2019 22:33,instagram for Android,0,7,en
"""It's time to break the silence on stalking and create a society where women are valued and protected. #BreakTheSilence""",naturelover456,10/16/2019 22:33,instagram for iPhone,0,161,en
"""Let's support laws and policies that protect women from stalking and hold perpetrators accountable. #JusticeForAll""",traveladdict_78,10/16/2019 22:33,instagram Web App,1,100,en
"""Stalking is a violation of women's rights. Let's work together to create a society where every woman feels safe. #Rights""",wanderer_explorer,10/16/2019 22:33,instagram.io,1,0,en
"""Survivors of stalking, your voices matter. Let's listen, believe, and support you. #SurvivorVoices""",outdoor_enthusiast99,10/16/2019 22:32,instagram for Android,0,2,en
"""Let's promote a culture of consent and respect to prevent instances of stalking. #ConsentCulture""",escapethecity_22,10/16/2019 22:32,instagram Web App,0,3,en
"""Every woman has the right to feel safe and secure in her own community. Let's stand against stalking. #SafeCommunities""",mountain_maniac789,10/16/2019 22:32,instagram for Android,1,2,en
"""Stalking is not romantic. It's a serious crime that affects the lives of countless women. #NoExcuses""",beach_bum_123,10/16/2019 22:31,instagram for iPhone,0,0,en
"""Let's challenge harmful stereotypes and attitudes that normalize stalking. #BreakTheNorms""",sunset_chaser456,10/16/2019 22:31,instagram for iPhone,0,1,en
"""Together, we can create a society where women are free to live their lives without the threat of stalking. #Freedom""",forest_adventurer_22,10/16/2019 22:31,instagram for Android,0,2,en
"""Let's support survivors of stalking by providing them with resources and assistance. #SupportSystem""",cityscape_explorer99,10/16/2019 22:31,instagram for iPhone,1,100,en
"""Stalking is not a sign of love. It's a sign of control and harassment. Let's recognize the difference. #RealLove""",nomad_wanderer123,10/16/2019 22:31,instagram Web App,0,50,en
"""Every woman deserves to feel safe in public spaces. Let's work towards creating a culture of safety. #PublicSafety""",worldwanderer789,10/16/2019 22:31,instagram.io,1,3,en
"""Let's educate young people about healthy relationships and boundaries to prevent stalking. #Education""",explore_everywhere_22,10/16/2019 22:31,instagram for Android,0,6,en
"""Stalking is a serious crime that can have devastating consequences. Let's take it seriously. #SeriousCrime""",adventureawaits_456,10/16/2019 22:31,instagram Web App,1,4567,en
"""Survivors of stalking, your strength and resilience inspire us all. We stand with you. #Strength""",journey_to_discover123,10/16/2019 22:31,instagram Web App,0,0,en
